File_name,Score
cropped_6558541-00CB7K-42-S_20Jul2021_Hot_CS656175421057AAQX_side14.jpg,1481.574576
cropped_6558541-00CB7M-42-D_21Jul2021_Hot_CS656175421057AACL_side14.jpg,749.539322
cropped_6558541-00CB7M-42-G_21Jul2021_Hot_CS656175421056AAET_side14.jpg,1430.084407
cropped_6558541-00CB7N-42-D_22Jul2021_Hot_CS656175421060AAUJ_side14.jpg,733.9005085
cropped_6558541-00CB7N-42-G_22Jul2021_Hot_CS656175421056AAQE_side14.jpg,1081.285085
cropped_6558541-00CB7P-42-D_23Jul2021_Hot_P1490076-00-CSD1321203SR1BFG0_side14.jpg,1019.478644
cropped_6558541-00CB8G-42-G_16Aug2021_Hot_CS656175421063AAVI_side14.jpg,1385.336864
cropped_6558541-00CB8H-42-G_17Aug2021_Hot_CS656175421061AANA_side14.jpg,1032.737288
cropped_6558541-00CB8H-42-S_17Aug2021_Hot_CS656175421063AAZW_side14.jpg,1100.454915
cropped_6558541-00CB8J-42-G_18Aug2021_Hot_CS656175421061ABKS_side14.jpg,737.2270339
cropped_6558541-00CB8K-42-G_19Aug2021_Hot_CS656175421061ABPC_side14.jpg,1019.379407
cropped_6558541-00CB8L-42-D_20Aug2021_Hot_CS656175421054AATL_side14.jpg,1054.655254
cropped_6558541-00CB8L-42-G_20Aug2021_Hot_CS656175421049AALK_side14.jpg,547.2751271
cropped_6558541-00CB8P-42-D_23Aug2021_Hot_P1490076-00-CSD1321235SR1BCI0_side14.jpg,733.650339
cropped_6558541-00CB8P-42-G_23Aug2021_Hot_CS656175421061ACBI_side14.jpg,679.4088983
cropped_6558541-00CB8R-42-G_24Aug2021_Hot_CS656175421063AALS_side14.jpg,914.7315254
cropped_6558541-00CB8S-42-D_25Aug2021_Hot_CS656175421064AAMV_side14.jpg,512.8786441
cropped_6558541-00CB8S-42-G_25Aug2021_Hot_CS656175421064AAII_side14.jpg,565.2708475
cropped_6558541-00CB8T-42-G_26Aug2021_Hot_CS656175421068AAWZ_side14.jpg,829.2038983
cropped_6558541-00CB8U-42-G_27Aug2021_Hot_CS656175421068AAMD_side14.jpg,548.0878814
cropped_6558541-00CB8X-42-G_30Aug2021_Hot_CS656175421068AAFC_side14.jpg,750.7554237
cropped_6558541-00CB8Y-42-G_31Aug2021_Hot_CS656175421069ABBO_side14.jpg,690.4286017
cropped_6558541-00CB91-42-G_01Sep2021_Hot_CS656175421069AAVF_side14.jpg,828.7840678
cropped_6558541-00CB92-42-G_02Sep2021_Hot_CS656175421069AAOQ_side14.jpg,942.4713559
cropped_6558541-00CB93-42-G_03Sep2021_Hot_CS656175421069AAAD_side14.jpg,911.4483051
cropped_6558541-00CB97-42-G_07Sep2021_Hot_CS656175421071AART_side14.jpg,1045.602797
cropped_6558541-00CB99-42-G_09Sep2021_Hot_CS656175421071ABOM_side14.jpg,771.0188983
cropped_6558541-00CB9E-42-D_14Sep2021_Hot_CS656175421071AADU_side14.jpg,1130.449915
cropped_6558541-00CB9F-42-D_15Sep2021_Hot_CS656175421071ABON_side14.jpg,1275.194746
cropped_6558541-00CB9G-42-D_16Sep2021_Hot_CS656175421071AAGH_side14.jpg,1374.471525
cropped_6558541-00CB9H-42-D_17Sep2021_Hot_CS656175421076AAAT_side14.jpg,522.7609746
cropped_6558541-00CB9L-42-G_20Sep2021_Hot_CS656175421071ABDI_side14.jpg,735.8233898
cropped_6558541-00CB9N-42-G_22Sep2021_Hot_CS656175421071AAYU_side14.jpg,953.5476271
cropped_6558541-00CB9P-42-S_23Sep2021_Hot_CS656175421071ABAD_side14.jpg,1835.804068
cropped_6558541-00CB9R-42-D_24Sep2021_Hot_P1490076-00-CSD1321267SR1AUP0_side14.jpg,793.8347458
cropped_6558541-00CB9R-42-G_24Sep2021_Hot_CS656175421076AAIP_side14.jpg,746.5052542
cropped_6558541-00CB9V-42-G_28Sep2021_Hot_CS656175421076ABBY_side14.jpg,1031.496864
